"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","gcct.incid","gcct.pia","eptdoses_uptake_gcct","gcct.nia","gcct.nnt","sti.timesInf"
"1",0,9,0,0,0,0,0,0,0,0,1,1,"5.26 (4.31 - 6.19)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","2.13 (1.89 - 2.38)"
"2",0.1,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"5.09 (4.11 - 5.89)","0.01 (-0.16 - 0.16)","85 (73 - 95)","337 (-3236 - 3886)","0.07 (-0.3 - 0.25)","2.11 (1.86 - 2.36)"
"3",0.2,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"4.75 (3.79 - 5.75)","0.05 (-0.08 - 0.18)","150 (130 - 167)","1184 (-1610 - 4214)","0.22 (-0.53 - 0.58)","2.03 (1.77 - 2.24)"
"4",0.3,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"4.43 (3.69 - 5.36)","0.08 (-0.1 - 0.2)","207 (182 - 237)","1655 (-1951 - 4792)","0.32 (-0.69 - 0.9)","1.98 (1.77 - 2.22)"
"5",0.4,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"4.22 (3.46 - 5.1)","0.1 (-0.04 - 0.22)","259 (232 - 287)","2130 (-724 - 5024)","0.5 (-0.82 - 1.23)","1.92 (1.74 - 2.15)"
"6",0.5,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"4.33 (3.47 - 5.27)","0.1 (-0.07 - 0.23)","315 (274 - 348)","2210 (-1308 - 5341)","0.59 (-0.92 - 1.64)","1.96 (1.74 - 2.17)"
"7",0.6,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"4.03 (3.25 - 5)","0.13 (-0.06 - 0.27)","344 (304 - 394)","2843 (-1150 - 6362)","0.64 (-1 - 1.28)","1.89 (1.67 - 2.15)"
"8",0.7,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"4.1 (3.31 - 4.98)","0.15 (-0.01 - 0.26)","387 (341 - 431)","3155 (-210 - 6072)","0.83 (-1.05 - 1.68)","1.87 (1.67 - 2.07)"
"9",0.8,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"3.99 (3.27 - 4.97)","0.13 (-0.04 - 0.26)","432 (386 - 485)","2894 (-899 - 6062)","0.87 (-1.51 - 1.96)","1.89 (1.69 - 2.11)"
"10",0.9,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"3.88 (3.17 - 4.81)","0.17 (0 - 0.27)","456 (409 - 518)","3557 (27 - 6247)","1.08 (0.34 - 1.99)","1.85 (1.64 - 2.05)"
"11",1,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"3.82 (3.09 - 4.63)","0.15 (0.02 - 0.28)","476 (433 - 540)","3496 (437 - 6656)","1.24 (0.58 - 2.74)","1.8 (1.61 - 2)"
"12",0.1,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"4.23 (3.56 - 5)","0.11 (-0.07 - 0.23)","291 (255 - 324)","2485 (-1382 - 5448)","0.1 (-0.2 - 0.23)","1.94 (1.75 - 2.15)"
"13",0.2,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"3.78 (3.14 - 4.74)","0.14 (0 - 0.26)","494 (444 - 565)","3338 (112 - 6218)","0.24 (0.09 - 0.52)","1.81 (1.64 - 2.04)"
"14",0.3,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"3.3 (2.71 - 4.11)","0.23 (0.09 - 0.32)","639 (578 - 713)","5060 (1777 - 7799)","0.33 (0.2 - 0.67)","1.71 (1.54 - 1.86)"
"15",0.4,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"2.88 (2.43 - 3.53)","0.27 (0.15 - 0.35)","757 (682 - 863)","5801 (3126 - 8640)","0.42 (0.26 - 0.69)","1.6 (1.45 - 1.78)"
"16",0.5,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"2.82 (2.25 - 3.41)","0.29 (0.17 - 0.38)","886 (800 - 986)","6518 (3420 - 9154)","0.47 (0.31 - 0.79)","1.54 (1.42 - 1.73)"
"17",0.6,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"2.76 (2.08 - 3.24)","0.3 (0.15 - 0.41)","987 (876 - 1108)","6656 (3347 - 9685)","0.53 (0.33 - 1.14)","1.51 (1.34 - 1.7)"
"18",0.7,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"2.35 (1.8 - 3.07)","0.32 (0.21 - 0.44)","1065 (944 - 1174)","7043 (4180 - 10632)","0.59 (0.34 - 1.01)","1.46 (1.3 - 1.63)"
"19",0.8,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"2.43 (1.93 - 3.03)","0.32 (0.2 - 0.43)","1156 (1055 - 1316)","7066 (4077 - 10364)","0.65 (0.42 - 1.08)","1.47 (1.32 - 1.64)"
"20",0.9,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"2.3 (1.78 - 2.85)","0.36 (0.25 - 0.44)","1232 (1097 - 1354)","8054 (4932 - 10447)","0.66 (0.46 - 1.08)","1.44 (1.28 - 1.58)"
"21",1,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"2.18 (1.71 - 2.82)","0.35 (0.24 - 0.47)","1288 (1131 - 1435)","7636 (4847 - 11205)","0.73 (0.45 - 1.23)","1.39 (1.24 - 1.57)"
"22",0.1,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"5.04 (4.06 - 6.31)","0.01 (-0.18 - 0.17)","143 (121 - 163)","267 (-3622 - 3940)","0.06 (-0.27 - 0.24)","2.15 (1.86 - 2.39)"
"23",0.2,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"5.18 (4.24 - 6.26)","-0.01 (-0.17 - 0.13)","266 (232 - 296)","-306 (-3356 - 3187)","-0.29 (-0.69 - 0.45)","2.14 (1.92 - 2.35)"
"24",0.3,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"5.06 (4.21 - 6.04)","0.02 (-0.17 - 0.17)","360 (315 - 402)","382 (-3426 - 4189)","0.16 (-0.8 - 0.73)","2.1 (1.86 - 2.33)"
"25",0.4,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"4.81 (4.09 - 5.84)","0.04 (-0.16 - 0.17)","450 (400 - 504)","931 (-3148 - 3873)","0.34 (-0.93 - 1.27)","2.09 (1.86 - 2.32)"
"26",0.5,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"4.77 (3.94 - 5.77)","0.05 (-0.13 - 0.18)","522 (467 - 583)","1018 (-2604 - 4639)","0.46 (-1.24 - 1.14)","2.05 (1.84 - 2.29)"
"27",0.6,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"4.9 (4.04 - 5.7)","0.04 (-0.13 - 0.18)","591 (540 - 657)","723 (-2612 - 4314)","0.43 (-1.93 - 1.4)","2.06 (1.84 - 2.29)"
"28",0.7,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"4.77 (3.91 - 5.82)","0.04 (-0.15 - 0.2)","663 (588 - 724)","934 (-2984 - 4768)","0.57 (-1.66 - 1.78)","2.09 (1.84 - 2.27)"
"29",0.8,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"4.66 (3.9 - 5.63)","0.08 (-0.1 - 0.18)","708 (632 - 772)","1695 (-1954 - 4167)","1.06 (-1.8 - 2.28)","2.04 (1.81 - 2.25)"
"30",0.9,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"4.73 (3.82 - 5.77)","0.03 (-0.13 - 0.19)","764 (690 - 845)","716 (-2550 - 4406)","0.77 (-2.55 - 2.45)","2.07 (1.8 - 2.27)"
"31",1,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"4.72 (3.87 - 5.8)","0.03 (-0.13 - 0.18)","820 (734 - 889)","794 (-2600 - 4206)","0.78 (-3.2 - 2.55)","2.07 (1.8 - 2.27)"
